,RAW Growth Curve,Butter RAW,Butter Impulse
1.666666667,0,0,0
3.333333333,-4.053176021,-4.054734804,-0.031272723
5,-10.06452636,-10.02979367,-0.121930383
6.666666667,-9.411353376,-9.6876826,-1.285253516
8.333333333,-12.65068759,-12.12329091,-4.593765065
10,-12.38618758,-12.78000156,-9.216096609
11.66666667,-14.3435431,-13.65708202,-13.57440159
13.33333333,-13.93149134,-14.29125156,-17.62078045
15,-14.94418715,-14.87614646,-20.98716816
16.66666667,-14.95407332,-15.38191996,-24.28349317
18.33333333,-15.81333807,-15.83624748,-26.780759
20,-15.95535564,-16.24393437,-29.69500412
21.66666667,-17.25861603,-16.61551622,-31.21616124
23.33333333,-16.03771774,-16.95448331,-33.92507693
25,-17.08278799,-17.26794743,-34.22191184
26.66666667,-17.40538175,-17.5580499,-36.41860768
28.33333333,-19.13846401,-17.82813186,-35.95983454
30,-16.87819069,-18.08009021,-37.43150463
31.66666667,-19.76415464,-18.31660003,-36.96641129
33.33333333,-18.63923485,-18.53871064,-37.91958822
35,-19.10687027,-18.74809365,-37.63927629
36.66666667,-18.70337403,-18.94583721,-38.28330696
38.33333333,-19.4328972,-19.13300184,-38.15148427
40,-19.18159131,-19.31042883,-38.60918867
41.66666667,-19.80857625,-19.4789046,-38.57210044
43.33333333,-20.19027364,-19.63908869,-38.91227651
45,-20.1786337,-19.79157242,-38.93199119
46.66666667,-20.0021855,-19.93688107,-39.19472816
48.33333333,-18.93500828,-20.07547933,-39.24728273
50,-19.07161441,-20.20778282,-39.45702306
51.66666667,-19.72344704,-20.33416752,-39.52758818
53.33333333,-20.68985042,-20.45496478,-39.69980688
55,-22.4144287,-20.57047864,-39.77920754
56.66666667,-19.41314651,-20.68098007,-39.92400295
58.33333333,-21.56191361,-20.78672377,-40.00654946
60,-19.77791562,-20.88793151,-40.13067653
61.66666667,-19.93794582,-20.98481263,-40.21284614
63.33333333,-20.86847457,-21.0775555,-40.32091885
65,-20.97105908,-21.16633296,-40.40055064
66.66666667,-25.06472686,-21.25130465,-40.49577834
68.33333333,-20.07241914,-21.33261558,-40.57157502
70,-20.38423909,-21.41040164,-40.65622652
71.66666667,-24.05979574,-21.48478674,-40.72744137
73.33333333,-24.01150423,-21.55588514,-40.8031445
75,-22.46701326,-21.623803,-40.86938191
76.66666667,-20.90006086,-21.68863837,-40.93732093
78.33333333,-23.59265918,-21.75048206,-40.99840767
80,-21.1600247,-21.809418,-41.05945553
81.66666667,-20.40307528,-21.86552419,-41.1153569
83.33333333,-21.36192893,-21.91887289,-41.17016536
85,-22.69192596,-21.96953102,-41.22093014
86.66666667,-22.33740715,-22.01756068,-41.26999187
88.33333333,-22.69247613,-22.06301941,-41.31571601
90,-21.41800897,-22.10596052,-41.3594079
91.66666667,-24.76623986,-22.14643334,-41.40021066
93.33333333,-22.42494044,-22.18448348,-41.43882424
95,-19.76056989,-22.22015303,-41.47483249
96.66666667,-23.20212755,-22.25348084,-41.50859552
98.33333333,-21.16738618,-22.28450256,-41.53993356
100,-23.34381151,-22.31325095,-41.56902523
101.6666667,-21.77429762,-22.33975592,-41.59580837
103.3333333,-22.21339525,-22.3640447,-41.62037019
105,-24.70861242,-22.38614196,-41.6427008
106.6666667,-24.11064773,-22.4060699,-41.66284416
108.3333333,-21.28347207,-22.42384834,-41.68080943
110,-24.5051964,-22.43949484,-41.69662093
111.6666667,-25.33352823,-22.45302469,-41.71029168
113.3333333,-24.38668149,-22.46445107,-41.72183671
115,-22.29775441,-22.473785,-41.73126699
116.6666667,-20.17379052,-22.48103549,-41.73859207
118.3333333,-23.73514325,-22.48620946,-41.74381911
120,-22.449421,-22.48931187,-41.74695329
